开奖时间	期号	佰	拾	个	开奖号码	总和	大小	单双	龙虎和	番	番数值
2025-12-12 04:18:30	3370717	2	9	3	2,9,3	14	大	双	虎	2番	2
2025-12-12 04:22:00	3370718	3	4	1	3,4,1	8	小	双	龙	4番	4
2025-12-12 04:25:30	3370719	9	4	1	9,4,1	14	大	双	龙	2番	2
2025-12-12 04:29:00	3370720	6	4	9	6,4,9	19	大	单	虎	3番	3
2025-12-12 04:32:30	3370721	8	2	7	8,2,7	17	大	单	龙	1番	1
2025-12-12 04:36:00	3370722	0	1	0	0,1,0	1	小	单	和	1番	1
2025-12-12 04:39:30	3370723	7	3	9	7,3,9	19	大	单	虎	3番	3
2025-12-12 04:43:00	3370724	1	3	5	1,3,5	9	小	单	虎	1番	1
2025-12-12 04:46:30	3370725	2	4	3	2,4,3	9	小	单	虎	1番	1
2025-12-12 04:50:00	3370726	6	1	3	6,1,3	10	小	双	龙	2番	2
2025-12-12 04:53:30	3370727	8	3	4	8,3,4	15	大	单	龙	3番	3
2025-12-12 04:57:00	3370728	8	7	5	8,7,5	20	大	双	龙	4番	4
2025-12-12 05:00:30	3370729	8	4	6	8,4,6	18	大	双	龙	2番	2
2025-12-12 05:04:00	3370730	0	3	5	0,3,5	8	小	双	虎	4番	4
2025-12-12 05:07:30	3370731	9	4	3	9,4,3	16	大	双	龙	4番	4
2025-12-12 05:11:00	3370732	9	3	9	9,3,9	21	大	单	和	1番	1
2025-12-12 05:14:30	3370733	1	4	0	1,4,0	5	小	单	龙	1番	1
2025-12-12 05:18:00	3370734	3	9	6	3,9,6	18	大	双	虎	2番	2
2025-12-12 05:21:30	3370735	5	4	2	5,4,2	11	小	单	龙	3番	3
2025-12-12 05:25:00	3370736	1	6	0	1,6,0	7	小	单	龙	3番	3
2025-12-12 05:28:30	3370737	4	2	9	4,2,9	15	大	单	虎	3番	3
2025-12-12 05:32:00	3370738	9	6	5	9,6,5	20	大	双	龙	4番	4
2025-12-12 05:35:30	3370739	8	0	3	8,0,3	11	小	单	龙	3番	3
2025-12-12 05:39:00	3370740	4	4	4	4,4,4	12	小	双	和	4番	4
2025-12-12 05:42:30	3370741	4	1	0	4,1,0	5	小	单	龙	1番	1
2025-12-12 05:46:00	3370742	0	1	5	0,1,5	6	小	双	虎	2番	2
2025-12-12 05:49:30	3370743	9	8	6	9,8,6	23	大	单	龙	3番	3
2025-12-12 05:53:00	3370744	9	1	3	9,1,3	13	小	单	龙	1番	1
